question;chunk_id;section_name;chapter_name
"Что, по словам Терви, является его ""ружьем"" и чем оно стреляет?";d56a86626329914a0590d6f3913f34b6;Что это у тебя за штука...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какой предмет использовал Терви для питания своего необычного оружия?;d56a86626329914a0590d6f3913f34b6;Что это у тебя за штука...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какое телевизионное шоу любили смотреть Райделл и его отец?;d56a86626329914a0590d6f3913f34b6;Что это у тебя за штука...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Как зовут женщину, которая пришла к Райделлу в больнице и какую должность она занимает?;d56a86626329914a0590d6f3913f34b6;Что это у тебя за штука...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Какую функцию выполняли камеры, установленные под задним бампером автомобиля ""Громила"", по мнению Райделла?";6851dc51ddcc613e44670dfc2c6ec6f3;Райделл вставил ключ...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Какое неофициальное название носил спутник, который сотрудники ""Интенсекьюра"" старались не упоминать вслух, и как он назывался официально?";6851dc51ddcc613e44670dfc2c6ec6f3;Райделл вставил ключ...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Что Саблетт использовал для прослушивания связи, учитывая помехи в стенах автомойки?;6851dc51ddcc613e44670dfc2c6ec6f3;Райделл вставил ключ...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какие предметы Саблетт надевал перед вызовом и зачем, и какую реакцию это вызвало у Райделла?;6851dc51ddcc613e44670dfc2c6ec6f3;Райделл вставил ключ...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Какую визитную карточку представил Райделлу Веллингтон Ма, агент из организации ""Влипшие копы""?";c82554e85771eb7f04616353c5666091;В тот раз пристрелив...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какой предмет приносила Карен Мендельсон Райделлу, позволявший связаться с конторой Веллингтона Ма в Лос-Анджелесе?;c82554e85771eb7f04616353c5666091;В тот раз пристрелив...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Что утверждал адвокат Дженни-Рей Клайн относительно действий Райделла в квартире его клиентки?;c82554e85771eb7f04616353c5666091;В тот раз пристрелив...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какие обстоятельства, помимо судебных исков, заставили мистера Персли и мистера Ма посоветовать Райделлу покинуть Ноксвилл?;c82554e85771eb7f04616353c5666091;В тот раз пристрелив...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
На каком предмете, помимо молельных платочков, мать Саблетта хранила автограф Сиринды Бурдетт?;3a85839f763f7fc6ad9390c84e0e8b9b;"""Смертельная доза""....";"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какой напиток Райделл допил в начале фрагмента, и где, по его словам, можно пополнить запас этого напитка?;3a85839f763f7fc6ad9390c84e0e8b9b;"""Смертельная доза""....";"2. ""ГРОМИЛА"" В ДЕЛЕ"
Что было написано на стене у алтаря Джей-Ди Шейпли, и каким цветом были выполнены надпись и сердце?;3a85839f763f7fc6ad9390c84e0e8b9b;"""Смертельная доза""....";"2. ""ГРОМИЛА"" В ДЕЛЕ"
На какую машину ездит Райделл, и какое преимущество он отметил в вождении этого автомобиля?;3a85839f763f7fc6ad9390c84e0e8b9b;"""Смертельная доза""....";"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какое устройство, по словам Карен Мендельсон, способно заменить справки о прививках?;e0b72e05a4593b5ac60ec9f912ecbad6;В жизнь Райделла вошло...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
