question;chunk_id;section_name;chapter_name
Какую должность занимает Максим Каммерер в организации, обозначенной как КОМКОН–2?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
С какой Полярной станции на Землю отбыл Лев Вячеславович Абалкин?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
"Какой предмет извлек Экселенц из бокового ящика стола, который Каммерер поначалу вспомнил на хонтийском языке как ""заккурапия""?";037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
Какую инструкцию дал Экселенц Каммереру относительно его группы и отчётности по делу Абалкина?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
Какая надпись была вытиснута кармином на папке, переданной ЛЕВУ ВЯЧЕСЛАВОВИЧУ АБАЛКИНУ?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Что Экселенц запретил делать с материалами, содержащимися в папке?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Сколько времени дали на выполнение задания, связанного с ЛЕВОМ АБАЛКИНОМ?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
На какой планете, по словам Экселенца, Сикорски по прозвищу Странник гонялся за Мак?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Какую реакцию вызвала у Андрея и Сандро переподчиненная Клавдия?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Сколько сообщений накопилось в регистраторе, пока рассказчик находился у Экселенца?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Что представляла собой папка, переданная Львом Абалкиным, и какое устройство использовалось для фиксации листов внутри нее?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Какую информацию о Тристане Лоффенфельде передал командир базы Саракш–2?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
На каком боте прибыл Тристан на базу Гурон?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
По какой причине Гурон был вынужден покинуть базу и на каком рейсе он направился на Землю?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какие места упомянуты в справке как остановки по маршруту рейса 611?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какую задачу поручил Слону Экселенц, что заставило его подняться рано утром?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
В каком учебном заведении получил образование Абалкин Лев Вячеславович, и кто был его наставником?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
На каких планетах проходила дипломная практика Абалкина, и с какой расой он контактировал?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какое прозвище дали Абалкину его коллеги во время экспедиции, и почему?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
На каких планетах проходила переподготовка Льва Абалкина в период с ноября 66-го по декабрь 70-го?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какие должности занимал Лев Абалкин на планете Саракш в период с сентября 67-го по март 71-го?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Кто из наблюдающих врачей сменял друг друга в наблюдении за Львом Абалкиным и в какой период времени работал каждый из них?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какую школу посещал Лев Абалкин на Земле, согласно данным, полученным из запроса в БВИ?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
В каком году Абалкин участвовал в операции «Мертвый мир»?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
Какие изменения происходили с жителями планеты Надежда, согласно отчету Абалкина?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
Какую роль играл Абалкин в операции «Мертвый мир» и какое уникальное достижение связано с его участием?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
В каком месте Абалкин работал с представителем разумной негуманоидной расы, и кто был его партнером?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
Какую должность занимал Лев Абалкин в операции на Гиганде?;792ee942969708533028694163c296ec;И был в папке еще один...;1 июня 78–го года
В каком жанре, по мнению рассказчика, были написаны отчеты Льва Абалкина?;792ee942969708533028694163c296ec;И был в папке еще один...;1 июня 78–го года
В каком году Абалкин направлял рапорт в КОМКОН-1, выражая недоумение по поводу сворачивания операции «Голован в Космосе»?;792ee942969708533028694163c296ec;И был в папке еще один...;1 июня 78–го года
Какие предметы, помимо писем и отчетов, содержались в папке 07 и на которых была монограмма, изображающая то ли китайского дракона, то ли птеродактиля?;792ee942969708533028694163c296ec;И был в папке еще один...;1 июня 78–го года
Какие профессиональные склонности указаны в переписке у Абалкина?;15331c0c435898389f06ccdbca6e4490;В общем эта переписка...;1 июня 78–го года
С какими существами, согласно тексту, обычно работают Прогрессоры, для которых зоопсихология является основной профессией?;15331c0c435898389f06ccdbca6e4490;В общем эта переписка...;1 июня 78–го года
"С кем автор текста планирует обсудить ситуацию с Абалкиным, считая, что в истории наблюдается ""нарушение меры""?";15331c0c435898389f06ccdbca6e4490;В общем эта переписка...;1 июня 78–го года
"В каком году группа ""Йормала"", в составе которой находились Стелла Владимировна и Вячеслав Борисович, совершила погружение в Черную Дыру ЕН 200056?";92d593a679657c5c6fdf8f8e0f74f9ea;ПОЧТИ ВСЕ О ВОЗМОЖНЫХ СВЯЗЯХ ЛЬВА АБАЛКИНА;1 июня 78–го года
Какое учебное заведение посещал Лев Абалкин, где его наставником был Эрнст–Юлий Горн?;92d593a679657c5c6fdf8f8e0f74f9ea;ПОЧТИ ВСЕ О ВОЗМОЖНЫХ СВЯЗЯХ ЛЬВА АБАЛКИНА;1 июня 78–го года
Где в настоящее время находится врач Ромуальд Крэсеску, наблюдавший за учениками школы Прогрессоров?;92d593a679657c5c6fdf8f8e0f74f9ea;ПОЧТИ ВСЕ О ВОЗМОЖНЫХ СВЯЗЯХ ЛЬВА АБАЛКИНА;1 июня 78–го года
